Foold_Quality_ID,week,Food_Serving_ID,Food_type_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders,Family Count,Food_Outlet_Perference,Ease and convenient,Time saving,More restaurant choices,Easy Payment option,More Offers and Discount,Good Food quality,Good Tracking system,Self Cooking,Health Concern,Late Delivery,Poor Hygiene,Bad past experience,Unavailability,Unaffordable,Long delivery time,Delay of delivery person getting assigned,Delay of delivery person picking up food,Wrong order delivered,Missing item,Order placed by mistake,Influence of time,Order Time,Maximum wait time,Residence in busy location,Google Maps Accuracy,Good Road Condition,Low quantity low time,Delivery person ability,Influence of rating
1000015,112,43,2290,286.15,288.15,0,0,1863,6, Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Maybe,Anytime (Mon-Sun),30 minutes,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Yes
1000016,131,77,2290,255.11,257.11,0,0,418,2, Veg foods (Breakfast / Lunch / Dinner),Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,No,Anytime (Mon-Sun),60 minutes,Neutral,Neutral,Agree,Agree,Agree,No
1000017,9,80,2826,298.76,298.76,0,0,771,3, Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Disagree,Agree,Neutral,Agree,Neutral,Yes
1000018,101,92,1445,459.78,709.13,0,0,27,4, Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Neutral,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Strongly Agree,Strongly Agree,Agree,Strongly disagree,Strongly Agree,Yes
1000019,18,52,1311,158.14,158.14,0,0,742,1, Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Agree,Strongly disagree,Agree,Maybe,Anytime (Mon-Sun),45 minutes,Neutral,Disagree,Neutral,Neutral,Neutral,Yes
1000020,88,24,2704,243.47,292.03,0,0,473,3, Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Yes,Weekend (Sat & Sun),More than 60 minutes,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Yes
1000021,111,57,1248,153.26,153.26,0,0,27,4, Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Strongly Agree,Disagree,Agree,Yes
1000022,49,89,2760,242.53,242.53,0,0,134,4, Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Yes,Weekdays (Mon-Fri),45 minutes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Yes
1000023,6,68,1971,290.06,289.06,0,0,230,4, Ice cream / Cool drinks,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Yes,Weekdays (Mon-Fri),30 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes
1000024,30,55,1109,255.14,309.43,0,1,715,3, Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,No,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Maybe
1000025,91,14,2640,291.03,291.03,0,0,69,3, Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes
1000026,104,41,1885,152.35,151.35,0,0,175,5, Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Agree,Agree,Agree,Yes
1000027,140,97,1571,486.03,629.53,0,0,242,3, Sweets,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Strongly agree,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,No,Anytime (Mon-Sun),45 minutes,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Yes
1000028,30,94,1207,307.49,308.49,0,0,204,3, Veg foods (Breakfast / Lunch / Dinner),Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Maybe,Weekend (Sat & Sun),30 minutes,Neutral,Neutral,Neutral,Disagree,Neutral,Maybe
1000029,83,174,1445,669.33,668.33,0,0,108,4, Veg foods (Breakfast / Lunch / Dinner),Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Yes,Weekend (Sat & Sun),15 minutes,Agree,Neutral,Agree,Agree,Neutral,No
1000030,95,145,2139,280.33,280.33,0,0,41,5, Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,Strongly agree,Disagree,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly disagree,Yes,Weekend (Sat & Sun),45 minutes,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Yes
1000031,24,14,2539,165.93,153.26,0,1,229,4, Veg foods (Breakfast / Lunch / Dinner),Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Agree,Neutral,Agree,Yes
1000032,97,10,1248,155.26,155.26,0,0,231,4, Veg foods (Breakfast / Lunch / Dinner),Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Disagree,Agree,Agree,Agree,Yes
1000033,25,76,2490,253.2,252.2,0,0,82,5, Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Yes,Weekend (Sat & Sun),15 minutes,Agree,Agree,Agree,Agree,Agree,Yes
1000034,90,186,2581,486.03,641.23,0,0,109,2, Ice cream / Cool drinks,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Yes,Weekend (Sat & Sun),15 minutes,Agree,Agree,Disagree,Agree,Strongly Agree,Yes
1000036,4,81,1558,611.13,612.13,0,0,136,3, Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Yes,Anytime (Mon-Sun),45 minutes,Strongly disagree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Yes
1000037,109,93,2704,245.47,244.47,0,0,150,5, Sweets,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Neutral,Disagree,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Neutral,Disagree,Agree,Maybe
1000038,139,58,2490,276.45,278.45,0,0,217,5, Sweets,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Yes,Weekdays (Mon-Fri),60 minutes,Agree,Agree,Strongly disagree,Agree,Neutral,Yes
1000039,85,137,1878,195.94,290.03,1,1,836,3, Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Yes,Weekend (Sat & Sun),45 minutes,Neutral,Agree,Agree,Disagree,Agree,Yes
1000040,141,34,1543,482.09,483.09,0,0,54,4, Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Yes,Weekend (Sat & Sun),45 minutes,Agree,Neutral,Agree,Neutral,Neutral,Yes
1000041,97,101,1311,136.77,208.61,0,0,96,4, Sweets,Agree,Strongly agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Yes,Weekdays (Mon-Fri),More than 60 minutes,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Yes
1000042,105,11,1558,678.03,678.03,0,0,81,3, Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Agree,Neutral,Neutral,Strongly Agree,Yes
1000043,40,29,2139,289.06,291.06,0,0,55,4, Veg foods (Breakfast / Lunch / Dinner),Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Agree,Neutral,Strongly Agree,Yes
1000044,120,124,1558,698.43,699.43,0,0,54,5, Bakery items (snacks),Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Yes
1000045,100,153,2664,299.73,301.73,0,0,445,5, Ice cream / Cool drinks,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Neutral,Agree,Agree,Disagree,Agree,Yes
1000046,86,143,1109,294.88,294.88,0,0,176,2, Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Agree,Strongly Agree,Agree,No
1000047,64,129,2631,152.35,152.35,0,0,80,3, Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Maybe,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Agree,Disagree,Agree,Yes
1000048,42,73,2867,629.53,630.53,0,0,27,2, Veg foods (Breakfast / Lunch / Dinner),Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Yes,Weekend (Sat & Sun),30 minutes,Neutral,Disagree,Neutral,Disagree,Neutral,Yes
1000049,31,124,2492,291,387.03,0,1,14,3, Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Disagree,Agree,Neutral,Agree,Neutral,Yes
1000051,93,76,1311,160.05,319.13,0,0,135,5, Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Yes,Weekend (Sat & Sun),15 minutes,Agree,Agree,Agree,Agree,Agree,Yes
1000052,86,126,1558,498.64,678.03,0,0,216,5, Ice cream / Cool drinks,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Weekdays (Mon-Fri),45 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes
1000053,64,97,2577,282.33,280.33,0,0,108,2, Veg foods (Breakfast / Lunch / Dinner),Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Maybe,Anytime (Mon-Sun),45 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Maybe
1000054,86,92,2826,310.43,309.43,0,0,96,3, Ice cream / Cool drinks,Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Yes,Weekend (Sat & Sun),30 minutes,Strongly Agree,Agree,Agree,Agree,Agree,Yes
1000055,1,59,2631,252.23,253.23,0,0,40,2, Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Agree,Agree,Agree,Yes
1000056,133,66,2569,339.53,340.53,0,0,216,3, Sweets,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Yes,Weekend (Sat & Sun),45 minutes,Agree,Agree,Neutral,Neutral,Agree,Yes
1000057,144,55,1311,180.42,226.01,0,0,203,2, Sweets,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Neutral,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Yes
1000058,51,153,2577,282.33,280.33,0,0,42,1, Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Strongly agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Maybe,Anytime (Mon-Sun),60 minutes,Agree,Agree,Strongly Agree,Neutral,Neutral,Yes
1000059,5,26,1216,418.13,418.13,0,0,15,3, Bakery items (snacks),Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Yes,Weekend (Sat & Sun),60 minutes,Agree,Strongly Agree,Agree,Neutral,Agree,Yes
1000060,98,89,1248,154.26,154.26,0,0,15,5, Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Yes,Weekend (Sat & Sun),45 minutes,Agree,Neutral,Disagree,Agree,Agree,Maybe
1000061,135,52,1727,321.07,465.63,1,1,2186,4, Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Disagree,Neutral,Strongly agree,Neutral,Disagree,Disagree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes
1000062,7,50,1062,159.11,160.11,0,0,350,5, Ice cream / Cool drinks,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Maybe,Weekend (Sat & Sun),60 minutes,Agree,Agree,Agree,Disagree,Strongly Agree,Maybe
1000063,94,89,1778,160.05,161.05,0,0,661,3, Veg foods (Breakfast / Lunch / Dinner),Agree,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly disagree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Agree,Maybe,Anytime (Mon-Sun),30 minutes,Strongly Agree,Agree,Neutral,Agree,Neutral,No
1000064,78,13,1525,291.06,289.06,0,0,474,1, Veg foods (Breakfast / Lunch / Dinner),Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,No,Weekend (Sat & Sun),60 minutes,Disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Yes
1000065,9,80,1770,485.03,484.03,0,0,14,4, Ice cream / Cool drinks,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Maybe,Weekend (Sat & Sun),30 minutes,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Yes
1000066,118,50,1727,447.23,446.23,0,0,337,2, Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Neutral,Maybe,Anytime (Mon-Sun),45 minutes,Disagree,Strongly disagree,Neutral,Strongly disagree,Strongly Agree,Yes
1000067,1,58,1962,583.03,610.13,1,1,229,6, Ice cream / Cool drinks,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Weekend (Sat & Sun),60 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes
